"","year","species","period","abundance","lag1_log_JackOPI","lag1_log_SmAdj","lag1_NPGO","lag1_PDO","WSST_A","PDO.MJJ","MEI.OND","UWI.JAS","SST.AMJ","SSH.AMJ","UWI.SON"
"13",1982,"Coho",1,1266.8,3.6384016166247,0.723618464447795,-0.221840562241667,0.989666666666667,-0.183049177716013,0.67675,-0.215,28.803,12.155,-85.033,-54.105
"14",1983,"Coho",1,NA,4.24986573107154,0.745351171883805,-0.686691380833333,0.09325,0.0176562313339748,0.6,1.95,28.851,10.981,-71.633,-42.966
"15",1984,"Coho",1,691.3,3.7311484012931,0.687555223310754,-0.09206469425,1.22975,0.17033829729772,1.01,-0.5,26.438,12.136,-7.2,-46.615
"16",1985,"Coho",1,717.5,3.59201056014562,1.04095387891483,0.620750036666667,0.709666666666667,-0.315357660839792,1.0075,-0.385,38.115,11.427,-64.8,-52.444
"17",1986,"Coho",1,2412,4.37241812039477,1.77707337570109,-0.393901047083333,0.316416666666667,-1.16743252236628,0.7175,-0.07,36.911,10.953,-81.233,-12.172
"18",1987,"Coho",1,779.4,3.99400844016944,1.04606651490771,-0.732847288333333,1.20183333333333,-0.133885359356638,1.05,0.6,38.461,11.509,-82.133,-19.717
"19",1988,"Coho",1,1467.8,4.50770067650859,1.16499729287882,0.429174729166667,1.36116666666667,0.234906459262136,0.89325,1.045,36.069,11.426,-79.567,-34.078
"20",1989,"Coho",1,1922,4.18567714489528,0.998246409027694,1.32363676333333,0.191083333333333,-0.366381859371897,0.97725,-1.655,42.693,11.487,-61.367,-20.229
"21",1990,"Coho",1,713.6,3.97370118969976,1.08607910552762,0.612240616666667,-0.2905,0.0699929241440334,0.97475,-0.425,35.529,11.618,-63.167,-4.817
"22",1991,"Coho",1,1816.5,4.25608068540695,0.969676036123494,-0.201546121083333,-0.476916666666667,-0.671107625553843,0.708,0.03,42.943,12.01,-61.133,-12.078
"23",1992,"Coho",1,512.6,3.29015408286883,0.518656552240542,-0.498914711166667,-0.544666666666667,-0.160357451031443,-0.0395,1.005,39.484,10.924,-106.833,-2.079
"24",1993,"Coho",1,223.3,3.42702755836317,0.52341282808099,-1.09491887,0.89075,0.031132722308401,0.158,0.645,36.754,12.723,-25.967,-24.992
"25",1994,"Coho",1,214.1,1.70819668445736,0.249800788183375,-1.90199258833333,1.168,0.0672116522095241,0.5765,0.835,40.857,13.244,64.367,0.138
"26",1995,"Coho",1,139.4,2.46733652859454,0.25702363847795,-1.2115987825,-0.176666666666667,0.0299088005325832,0.584,1.265,39.043,11.448,-58.4,-13.294
"27",1996,"Coho",1,176.5,2.88859239799609,0.449311462390891,-1.03920854583333,0.6305,0.604335213114981,1.299,-0.755,27.53,11.193,-58.1,-25.285
"28",1997,"Coho",1,195.6,3.01744484045964,0.334928680739302,-0.972836611666667,0.8115,0.00813200514531509,1.2365,-0.355,56.803,11.439,-40.133,-4.701
"29",1998,"Coho",1,228.3,2.31806466384243,0.231247393536676,-0.657690615833333,1.33983333333333,1.42876496355749,1.2405,2.1,10.175,12.101,-6.6,-55.941
"30",1999,"Coho",1,372.5,3.37310650149563,0.35342201372532,0.544553282666667,-0.122083333333333,0.419472957064871,1.1955,-1.315,49.683,11.376,-32.567,-43.258
"31",2000,"Coho",1,673.1,3.54226282194076,0.505702978236166,1.51578051666667,-1.377,-0.264596080372568,0.4565,-1.33,51,10.67,-101.467,-34.176
"32",2001,"Coho",1,1478.7,4.46581616040356,0.278749430577489,1.88586129166667,-0.78225,0.0411807541153468,-0.011,-0.69,35.778,11.355,-44.633,-26.833
"33",2002,"Coho",1,689.5,3.1994075416728,0.162624592614902,2.080693375,-0.741916666666667,-0.329941248486277,-0.7425,-0.255,47.077,10.679,-113.733,-38.189
"34",2003,"Coho",1,1009.9,3.89816745913771,0.0473129678479497,1.47359396,-0.134916666666667,0.259797954966787,-0.8675,0.84,50.485,10.105,-135.433,-25.902
"35",2004,"Coho",1,693.6,3.55580509988859,0.290715279777714,0.958507189166667,0.526666666666667,0.226099038531546,-0.39925,0.29,55.476,11.077,-49.433,-26.352
"36",2005,"Coho",1,454.2,3.24095037918651,0.111025791325576,0.209460249333333,-0.110666666666667,-0.114796137402292,-0.21675,0.48,26.994,11.862,-47.767,4.343
"37",2006,"Coho",1,524.3,3.25755793146054,0.0589999268249644,-1.46910066666667,-0.091,0.321582818438772,0.209,-0.68,51.751,12.545,-10,-9.006
"38",2007,"Coho",1,545.3,3.59421156799485,0.0173329225227932,-0.549937136666667,-0.152833333333333,-0.289040898869272,0.49325,0.885,53.571,11.153,-19.9,-14.097
"39",2008,"Coho",1,571.3,2.76581583795235,0.0757796796873791,0.57946462175,-0.463666666666667,-0.669418429920908,0.525,-1.125,27.525,10.617,-106.433,-9.88
"40",2009,"Coho",1,1051,4.1024945936403,0.204683926271804,1.49285563583333,-1.33083333333333,-0.821978485176798,0.1725,-1.035,32.706,9.623,-95.167,-10.657
"41",2010,"Coho",1,546.5,3.22684399451738,0.0303765359491056,0.640582339916667,-0.816583333333333,-0.309977745602366,-0.14925,0.8,24.325,10.452,-77.067,-47.079
"42",2011,"Coho",1,454.2,3.14501397626975,0.0501620400385129,1.28960188,-0.743083333333333,0.0581493620178737,-0.365,-2.085,34.211,11.681,-28.8,-32.894
"43",2012,"Coho",1,183.1,2.89053841067549,0.125045657901218,0.789645074416667,-1.57108333333333,-0.143033122608896,-0.77175,-1.22,29.332,10.695,-25.667,-26.298
"44",2013,"Coho",1,335.1,3.26937880704131,0.19213334010236,1.422745935,-1.41433333333333,-0.104846930096384,-0.78675,-0.11,53.552,11.02,-13.1,-29.898
"45",2014,"Coho",1,1316.5,3.93930912291886,0.125975377576226,0.363238281666667,-0.926,-0.428621089051004,-0.85675,-0.145,35.3,10.66,-84.467,-7.807
"46",2015,"Coho",1,268.9,3.67993961254446,0.290385269625824,-0.196416375,0.531583333333333,1.54318013231969,-0.65025,0.24,41.257,11.17,-7.067,-40.109
"47",2016,"Coho",1,247.7,2.97929796709057,0.213907149869596,-1.38072873416667,0.805333333333333,0.865385795047048,-0.10275,2.04,40.406,10.276,-93.267,-7.854
"48",2017,"Coho",1,291.8,3.13161714457436,0.222342975508554,-0.160319035833333,0.631666666666667,0.813432240893606,0.5415,-0.5,47.98,11.582,-103.6,-68.233
"49",2018,"Coho",1,182.8,2.95963866590575,0.114641085428728,-0.859133045333333,-0.0628333333333333,0.379595065524343,0.8425,-0.605,46.089,11.187,-44.7,-36.184
"50",2019,"Coho",1,340.7,3.85955006816703,0.105353870918524,-1.96429333333333,-0.302916666666667,0.690314793994192,0.671,0.425,41.064,10.825,-99.367,-12.37
"51",2020,"Coho",1,387.7,2.72215032548099,0.0330458351377059,-2.2790696025,-0.0396666666666667,-0.0925929303863011,0.5185,0.39,20.066,10.472,-81.167,4.074
"52",2021,"Coho",1,841.3,4.5245456424142,0.101896941973829,-1.842908675,-1.04141666666667,0.459881925990347,0.07175,-1.15,25.564,11.401,-65.4,-18.892
"53",2022,"Coho",1,695.6,4.15347787651361,0.0754303713558893,-0.91261911675,-1.58458333333333,-0.134794866631266,-0.41675,-1.425,40.845,10.97,-117.433,-64.066
"54",2023,"Coho",1,514.2,3.65978529390956,0.0701407193502153,-1.26214037083333,-1.77958333333333,-0.0204586740233861,-0.8235,-1.625,33.834,11.471,-84.367,-6.614
"55",2024,"Coho",1,742.3,4.31948478552611,0.0388840183706399,-1.68085552583333,-1.878,1.22285392325139,-1.396,0.695,22.844,10.622,-55.533,-28.148
"56",2025,"Coho",1,619.341,3.92653716358617,0.0882789877148177,-1.9361828,-2.10816666666667,0.509814286639456,-1.8135,-0.595,42.625,10.818,-151.6,-34.914
"57",2026,"Coho",1,NA,3.80459368460121,0.0878387807680894,-1.73596601833333,-1.78141666666667,0.808786058833364,-2.031,-1.125,33.09,10.505,-136.867,-27.342
